clause_a,clause_b,relationship,similarity,confidence,hierarchy_violation,engine,explanation
REG005,REG018,Neutral,0.1156,0.8844,FALSE,symbolic,"REG005 (Admission Regulations, level 3) was compared with REG018 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG005,POL001,Neutral,0.4726,0.5274,FALSE,symbolic,"REG005 (Admission Regulations, level 3) was compared with POL001 (Scholarship Policy, level 4). No direct logical conflict, implication, or exception was established."
REG005,EXC001,Exception,0.2301,1,FALSE,symbolic,"REG005 (Admission Regulations, level 3) was compared with EXC001 (Admission Regulations, level 3). An explicit exception_to link connects these clauses. The narrower rule qualifies the general rule instead of replacing it."
REG006,REG007,Neutral,0.2499,0.7501,FALSE,symbolic,"REG006 (Academic Regulations, level 3) was compared with REG007 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG006,REG015,Neutral,0.0554,0.9446,FALSE,symbolic,"REG006 (Academic Regulations, level 3) was compared with REG015 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG006,REG016,Neutral,0,1,FALSE,symbolic,"REG006 (Academic Regulations, level 3) was compared with REG016 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG006,REG018,Neutral,0.2012,0.7988,FALSE,symbolic,"REG006 (Academic Regulations, level 3) was compared with REG018 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG006,REG019,Neutral,0.1005,0.8995,FALSE,symbolic,"REG006 (Academic Regulations, level 3) was compared with REG019 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG006,PROC004,Neutral,0.134,0.866,FALSE,symbolic,"REG006 (Academic Regulations, level 3) was compared with PROC004 (Academic Regulations, level 5). No direct logical conflict, implication, or exception was established."
REG006,REG021,Neutral,0,1,FALSE,symbolic,"REG006 (Academic Regulations, level 3) was compared with REG021 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG006,POL007,Neutral,0,1,FALSE,symbolic,"REG006 (Academic Regulations, level 3) was compared with POL007 (Graduation Policy, level 4). No direct logical conflict, implication, or exception was established."
REG007,REG015,Neutral,0,1,FALSE,symbolic,"REG007 (Academic Regulations, level 3) was compared with REG015 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG007,REG016,Neutral,0.1253,0.8747,FALSE,symbolic,"REG007 (Academic Regulations, level 3) was compared with REG016 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG007,REG019,Neutral,0.022,0.978,FALSE,symbolic,"REG007 (Academic Regulations, level 3) was compared with REG019 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG007,PROC004,Neutral,0.1838,0.8162,FALSE,symbolic,"REG007 (Academic Regulations, level 3) was compared with PROC004 (Academic Regulations, level 5). No direct logical conflict, implication, or exception was established."
REG007,REG021,Neutral,0,1,FALSE,symbolic,"REG007 (Academic Regulations, level 3) was compared with REG021 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG007,POL007,Neutral,0,1,FALSE,symbolic,"REG007 (Academic Regulations, level 3) was compared with POL007 (Graduation Policy, level 4). No direct logical conflict, implication, or exception was established."
REG007,POL009,Neutral,0.2046,0.7954,FALSE,symbolic,"REG007 (Academic Regulations, level 3) was compared with POL009 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
REG008,REG009,Neutral,0.1522,0.8478,FALSE,symbolic,"REG008 (Academic Regulations, level 3) was compared with REG009 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG008,POL003,Neutral,0.0942,0.9058,FALSE,symbolic,"REG008 (Academic Regulations, level 3) was compared with POL003 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
REG008,POL004,Neutral,0.1299,0.8701,FALSE,symbolic,"REG008 (Academic Regulations, level 3) was compared with POL004 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
REG008,PROC001,Neutral,0.1109,0.8891,FALSE,symbolic,"REG008 (Academic Regulations, level 3) was compared with PROC001 (Fee Refund Policy, level 5). No direct logical conflict, implication, or exception was established."
REG008,EXC002,Neutral,0.2118,0.7882,FALSE,symbolic,"REG008 (Academic Regulations, level 3) was compared with EXC002 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG008,EXC004,Neutral,0.1081,0.8919,FALSE,symbolic,"REG008 (Academic Regulations, level 3) was compared with EXC004 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
REG008,POL008,Neutral,0.0702,0.9298,FALSE,symbolic,"REG008 (Academic Regulations, level 3) was compared with POL008 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
REG008,POL009,Neutral,0.1676,0.8324,FALSE,symbolic,"REG008 (Academic Regulations, level 3) was compared with POL009 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
REG009,REG011,Neutral,0.2912,0.7088,FALSE,symbolic,"REG009 (Academic Regulations, level 3) was compared with REG011 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG009,POL003,Neutral,0.0873,0.9127,FALSE,symbolic,"REG009 (Academic Regulations, level 3) was compared with POL003 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
REG009,POL004,Neutral,0.0995,0.9005,FALSE,symbolic,"REG009 (Academic Regulations, level 3) was compared with POL004 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
REG009,PROC001,Neutral,0.0806,0.9194,FALSE,symbolic,"REG009 (Academic Regulations, level 3) was compared with PROC001 (Fee Refund Policy, level 5). No direct logical conflict, implication, or exception was established."
REG009,EXC002,Neutral,0.1684,0.8316,FALSE,symbolic,"REG009 (Academic Regulations, level 3) was compared with EXC002 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG009,EXC004,Neutral,0.1184,0.8816,FALSE,symbolic,"REG009 (Academic Regulations, level 3) was compared with EXC004 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
REG009,POL008,Neutral,0.1675,0.8325,FALSE,symbolic,"REG009 (Academic Regulations, level 3) was compared with POL008 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
REG009,POL009,Neutral,0.1136,0.8864,FALSE,symbolic,"REG009 (Academic Regulations, level 3) was compared with POL009 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
REG010,REG011,Neutral,0.0452,0.9548,FALSE,symbolic,"REG010 (Academic Regulations, level 3) was compared with REG011 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG010,PROC005,Neutral,0.3001,0.6999,FALSE,symbolic,"REG010 (Academic Regulations, level 3) was compared with PROC005 (Academic Regulations, level 5). No direct logical conflict, implication, or exception was established."
REG010,POL006,Neutral,0.0856,0.9144,FALSE,symbolic,"REG010 (Academic Regulations, level 3) was compared with POL006 (Department Attendance Policy, level 4). No direct logical conflict, implication, or exception was established."
REG011,REG013,Neutral,0.2329,0.7671,FALSE,symbolic,"REG011 (Academic Regulations, level 3) was compared with REG013 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG011,REG014,Neutral,0.3064,0.6936,FALSE,symbolic,"REG011 (Academic Regulations, level 3) was compared with REG014 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG011,EXC003,Neutral,0.277,0.723,FALSE,symbolic,"REG011 (Academic Regulations, level 3) was compared with EXC003 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG011,POL006,Neutral,0,1,FALSE,symbolic,"REG011 (Academic Regulations, level 3) was compared with POL006 (Department Attendance Policy, level 4). No direct logical conflict, implication, or exception was established."
REG012,REG013,Neutral,0.1558,0.8442,FALSE,symbolic,"REG012 (Academic Regulations, level 3) was compared with REG013 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG012,REG014,Neutral,0.2287,0.7713,FALSE,symbolic,"REG012 (Academic Regulations, level 3) was compared with REG014 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG012,REG020,Neutral,0.0888,0.9112,FALSE,symbolic,"REG012 (Academic Regulations, level 3) was compared with REG020 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG012,EXC003,Neutral,0.1039,0.8961,FALSE,symbolic,"REG012 (Academic Regulations, level 3) was compared with EXC003 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG013,REG014,Neutral,0.1671,0.8329,FALSE,symbolic,"REG013 (Academic Regulations, level 3) was compared with REG014 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG013,REG019,Neutral,0.2258,0.7742,FALSE,symbolic,"REG013 (Academic Regulations, level 3) was compared with REG019 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG013,REG020,Neutral,0.0855,0.9145,FALSE,symbolic,"REG013 (Academic Regulations, level 3) was compared with REG020 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG013,EXC001,Neutral,0.204,0.796,FALSE,symbolic,"REG013 (Academic Regulations, level 3) was compared with EXC001 (Admission Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG013,EXC002,Neutral,0.2515,0.7485,FALSE,symbolic,"REG013 (Academic Regulations, level 3) was compared with EXC002 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG013,EXC003,Exception,0.211,1,FALSE,symbolic,"REG013 (Academic Regulations, level 3) was compared with EXC003 (University Regulations, level 3). An explicit exception_to link connects these clauses. The narrower rule qualifies the general rule instead of replacing it."
REG014,REG020,Neutral,0,1,FALSE,symbolic,"REG014 (University Regulations, level 3) was compared with REG020 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG014,EXC003,Neutral,0.1362,0.8638,FALSE,symbolic,"REG014 (University Regulations, level 3) was compared with EXC003 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG015,REG016,Neutral,0.0504,0.9496,FALSE,symbolic,"REG015 (University Regulations, level 3) was compared with REG016 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG015,REG019,Neutral,0.2386,0.7614,FALSE,symbolic,"REG015 (University Regulations, level 3) was compared with REG019 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG015,PROC004,Neutral,0,1,FALSE,symbolic,"REG015 (University Regulations, level 3) was compared with PROC004 (Academic Regulations, level 5). No direct logical conflict, implication, or exception was established."
REG015,REG021,Neutral,0,1,FALSE,symbolic,"REG015 (University Regulations, level 3) was compared with REG021 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG015,POL007,Neutral,0,1,FALSE,symbolic,"REG015 (University Regulations, level 3) was compared with POL007 (Graduation Policy, level 4). No direct logical conflict, implication, or exception was established."
REG016,REG019,Neutral,0.1609,0.8391,FALSE,symbolic,"REG016 (University Regulations, level 3) was compared with REG019 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG016,PROC004,Neutral,0,1,FALSE,symbolic,"REG016 (University Regulations, level 3) was compared with PROC004 (Academic Regulations, level 5). No direct logical conflict, implication, or exception was established."
REG016,REG021,Neutral,0,1,FALSE,symbolic,"REG016 (University Regulations, level 3) was compared with REG021 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG016,POL007,Neutral,0,1,FALSE,symbolic,"REG016 (University Regulations, level 3) was compared with POL007 (Graduation Policy, level 4). No direct logical conflict, implication, or exception was established."
REG017,POL003,Neutral,0.2151,0.7849,FALSE,symbolic,"REG017 (University Regulations, level 3) was compared with POL003 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
REG017,PROC005,Neutral,0.2142,0.7858,FALSE,symbolic,"REG017 (University Regulations, level 3) was compared with PROC005 (Academic Regulations, level 5). No direct logical conflict, implication, or exception was established."
REG018,PROC002,Neutral,0.2219,0.7781,FALSE,symbolic,"REG018 (University Regulations, level 3) was compared with PROC002 (Degree Issuance Procedure, level 5). No direct logical conflict, implication, or exception was established."
REG018,EXC001,Neutral,0.0982,0.9018,FALSE,symbolic,"REG018 (University Regulations, level 3) was compared with EXC001 (Admission Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG019,PROC004,Neutral,0.0217,0.9783,FALSE,symbolic,"REG019 (University Regulations, level 3) was compared with PROC004 (Academic Regulations, level 5). No direct logical conflict, implication, or exception was established."
REG019,EXC003,Neutral,0.3086,0.6914,FALSE,symbolic,"REG019 (University Regulations, level 3) was compared with EXC003 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG019,REG021,Neutral,0,1,FALSE,symbolic,"REG019 (University Regulations, level 3) was compared with REG021 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG019,POL007,Neutral,0,1,FALSE,symbolic,"REG019 (University Regulations, level 3) was compared with POL007 (Graduation Policy, level 4). No direct logical conflict, implication, or exception was established."
REG020,PROC002,Neutral,0.4378,0.5622,FALSE,symbolic,"REG020 (University Regulations, level 3) was compared with PROC002 (Degree Issuance Procedure, level 5). No direct logical conflict, implication, or exception was established."
REG020,EXC003,Neutral,0.1285,0.8715,FALSE,symbolic,"REG020 (University Regulations, level 3) was compared with EXC003 (University Regulations, level 3). No direct logical conflict, implication, or exception was established."
REG020,POL006,Neutral,0.2414,0.7586,FALSE,symbolic,"REG020 (University Regulations, level 3) was compared with POL006 (Department Attendance Policy, level 4). No direct logical conflict, implication, or exception was established."
POL001,POL002,Neutral,0.0489,0.9511,FALSE,symbolic,"POL001 (Scholarship Policy, level 4) was compared with POL002 (Scholarship Policy, level 4). No direct logical conflict, implication, or exception was established."
POL001,EXC005,Neutral,0,1,FALSE,symbolic,"POL001 (Scholarship Policy, level 4) was compared with EXC005 (Scholarship Policy, level 4). No direct logical conflict, implication, or exception was established."
POL002,EXC005,Exception,0.1886,1,FALSE,symbolic,"POL002 (Scholarship Policy, level 4) was compared with EXC005 (Scholarship Policy, level 4). An explicit exception_to link connects these clauses. The narrower rule qualifies the general rule instead of replacing it."
POL003,POL004,Neutral,0.0958,0.9042,FALSE,symbolic,"POL003 (Fee Refund Policy, level 4) was compared with POL004 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
POL003,PROC001,Neutral,0.1015,0.8985,FALSE,symbolic,"POL003 (Fee Refund Policy, level 4) was compared with PROC001 (Fee Refund Policy, level 5). No direct logical conflict, implication, or exception was established."
POL003,EXC002,Neutral,0.0753,0.9247,FALSE,symbolic,"POL003 (Fee Refund Policy, level 4) was compared with EXC002 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
POL003,EXC004,Exception,0.2052,1,FALSE,symbolic,"POL003 (Fee Refund Policy, level 4) was compared with EXC004 (Fee Refund Policy, level 4). An explicit exception_to link connects these clauses. The narrower rule qualifies the general rule instead of replacing it."
POL003,POL008,Redundancy,0.1223,0.9,FALSE,symbolic,"POL003 (Fee Refund Policy, level 4) was compared with POL008 (Fee Refund Policy, level 4). The clauses use the same formal predicate rule."
POL003,POL009,Neutral,0,1,FALSE,symbolic,"POL003 (Fee Refund Policy, level 4) was compared with POL009 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
POL004,PROC001,Neutral,0.3667,0.6333,FALSE,symbolic,"POL004 (Fee Refund Policy, level 4) was compared with PROC001 (Fee Refund Policy, level 5). No direct logical conflict, implication, or exception was established."
POL004,PROC003,Neutral,0.2543,0.7457,FALSE,symbolic,"POL004 (Fee Refund Policy, level 4) was compared with PROC003 (Appeal Procedure, level 5). No direct logical conflict, implication, or exception was established."
POL004,EXC002,Neutral,0.2902,0.7098,FALSE,symbolic,"POL004 (Fee Refund Policy, level 4) was compared with EXC002 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
POL004,EXC004,Neutral,0.0368,0.9632,FALSE,symbolic,"POL004 (Fee Refund Policy, level 4) was compared with EXC004 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
POL004,POL008,Neutral,0.0713,0.9287,FALSE,symbolic,"POL004 (Fee Refund Policy, level 4) was compared with POL008 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
POL004,POL009,Neutral,0.1279,0.8721,FALSE,symbolic,"POL004 (Fee Refund Policy, level 4) was compared with POL009 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
PROC001,PROC002,Neutral,0.3086,0.6914,FALSE,symbolic,"PROC001 (Fee Refund Policy, level 5) was compared with PROC002 (Degree Issuance Procedure, level 5). No direct logical conflict, implication, or exception was established."
PROC001,EXC002,Neutral,0.2271,0.7729,FALSE,symbolic,"PROC001 (Fee Refund Policy, level 5) was compared with EXC002 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
PROC001,EXC004,Neutral,0.0153,0.9847,FALSE,symbolic,"PROC001 (Fee Refund Policy, level 5) was compared with EXC004 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
PROC001,POL008,Neutral,0.0297,0.9703,FALSE,symbolic,"PROC001 (Fee Refund Policy, level 5) was compared with POL008 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
PROC001,POL009,Neutral,0.1044,0.8956,FALSE,symbolic,"PROC001 (Fee Refund Policy, level 5) was compared with POL009 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
PROC004,REG021,Neutral,0.1095,0.8905,FALSE,symbolic,"PROC004 (Academic Regulations, level 5) was compared with REG021 (Academic Regulations, level 3). No direct logical conflict, implication, or exception was established."
PROC004,POL007,Neutral,0.1179,0.8821,FALSE,symbolic,"PROC004 (Academic Regulations, level 5) was compared with POL007 (Graduation Policy, level 4). No direct logical conflict, implication, or exception was established."
PROC005,POL009,Neutral,0.2398,0.7602,FALSE,symbolic,"PROC005 (Academic Regulations, level 5) was compared with POL009 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
EXC002,EXC004,Neutral,0.0963,0.9037,FALSE,symbolic,"EXC002 (Academic Regulations, level 3) was compared with EXC004 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
EXC002,POL008,Neutral,0.022,0.978,FALSE,symbolic,"EXC002 (Academic Regulations, level 3) was compared with POL008 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
EXC002,POL009,Exception,0.2757,1,FALSE,symbolic,"EXC002 (Academic Regulations, level 3) was compared with POL009 (Fee Refund Policy, level 4). An explicit exception_to link connects these clauses. The narrower rule qualifies the general rule instead of replacing it."
EXC004,POL008,Neutral,0.5165,0.5,FALSE,symbolic,"EXC004 (Fee Refund Policy, level 4) was compared with POL008 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
EXC004,POL009,Neutral,0.4666,0.5334,FALSE,symbolic,"EXC004 (Fee Refund Policy, level 4) was compared with POL009 (Fee Refund Policy, level 4). No direct logical conflict, implication, or exception was established."
REG021,POL006,Neutral,0.2362,0.7638,FALSE,symbolic,"REG021 (Academic Regulations, level 3) was compared with POL006 (Department Attendance Policy, level 4). No direct logical conflict, implication, or exception was established."
REG021,POL007,Entailment,0.3976,0.78,FALSE,symbolic,"REG021 (Academic Regulations, level 3) was compared with POL007 (Graduation Policy, level 4). The formal rules derive the same consequence from compatible conditions."
POL008,POL009,Entailment,0.5806,0.5806,FALSE,symbolic,"POL008 (Fee Refund Policy, level 4) was compared with POL009 (Fee Refund Policy, level 4). The clauses are closely related and one supports the other."
