clause_id,clause_text,clause_type,source_document,governance_level,subject_domain,predicate_logic,exception_to,exception_rationale
REG014,A student receiving grade F must repeat that course.,Regulation,University Regulations,3,Examination,"GradeF(x,c) -> MustRepeatCourse(x,c)",,
REG015,A maximum of six courses may be repeated for CGPA improvement.,Regulation,University Regulations,3,Academics,"RepeatedCourses(x,n) AND n<=6 -> CGPAImprovementAllowed(x)",,
REG016,A semester break requires university approval.,Regulation,University Regulations,3,Academics,SemesterBreakApproved(x) -> CanTakeBreak(x),,
REG017,Two consecutive semesters of non-registration shall lead to cancellation of admission.,Regulation,University Regulations,3,Registration,TwoConsecutiveNonRegistrations(x) -> AdmissionCancelled(x),,
REG018,Re-admission shall only be considered if the degree can be completed within the maximum duration.,Regulation,University Regulations,3,Admission,WithinMaximumDuration(x) -> ReadmissionAllowed(x),,
REG019,A student may apply for change of program with approval of the Head of Department.,Regulation,University Regulations,3,Academics,HODApproval(x) -> ProgramChangeAllowed(x),,
REG020,The Office of Controller of Examinations shall conduct midterm and final examinations.,Regulation,University Regulations,3,Examination,ControllerOffice(x) -> ConductExaminations(x),,
POL001,Merit scholarships shall be awarded based on prescribed CGPA criteria.,Policy,Scholarship Policy,4,Scholarship,"CGPA(x,g) AND g>=3.90 -> MeritScholarship(x)",,
POL002,Scholarship continuation depends upon fulfillment of prescribed academic conditions.,Policy,Scholarship Policy,4,Scholarship,ScholarshipHolder(x) AND AcademicConditionsMet(x) -> ScholarshipContinues(x),,
POL003,Admission fee is non-refundable.,Policy,Fee Refund Policy,4,Finance,AdmissionFeePaid(x) -> NOT RefundAllowed(x),,
POL004,Fee refund requests shall be submitted on the prescribed refund form.,Policy,Fee Refund Policy,4,Finance,RefundFormSubmitted(x) -> RefundRequestAccepted(x),,
POL005,Every student shall complete the prescribed internship requirement before graduation.,Policy,Internship Policy,4,Internship,InternshipCompleted(x) -> EligibleForGraduation(x),,
PROC001,Students shall submit applications for fee refund through the prescribed procedure.,Procedure,Fee Refund Policy,5,Finance,RefundApplicationSubmitted(x) -> RefundProcessStarted(x),,
PROC002,Degree applications shall be submitted through the Controller of Examinations.,Procedure,Degree Issuance Procedure,5,Degree,DegreeApplicationSubmitted(x) -> DegreeIssued(x),,
PROC003,Appeals shall be filed using the prescribed appeal form.,Procedure,Appeal Procedure,5,Appeal,AppealFormSubmitted(x) -> AppealProcessed(x),,
PROC004,Credit transfer applications shall include the original transcript.,Procedure,Academic Regulations,5,Academics,TranscriptSubmitted(x) -> CreditTransferProcessed(x),,
PROC005,Registration shall be confirmed after payment of prescribed dues.,Procedure,Academic Regulations,5,Registration,FeePaid(x) -> RegistrationCompleted(x),,
EXC001,Applicants having an HEC-approved test may be exempted from the university admission test.,Exception,Admission Regulations,3,Admission,HasHECTest(x) -> ExemptAdmissionTest(x),REG005,HEC-approved tests create an exception to the normal university admission-test basis.
EXC002,A first-semester student withdrawing within the prescribed period shall receive tuition fee refund according to the approved schedule.,Exception,Academic Regulations,3,Finance,FirstSemesterWithdrawal(x) -> TuitionRefund(x),POL009,First-semester withdrawal within the prescribed period qualifies the general tuition non-refund rule.
EXC003,A student missing the final examination on medical grounds may apply for course withdrawal before declaration of results.,Exception,University Regulations,3,Examination,MedicalGrounds(x) -> CourseWithdrawalAllowed(x),REG013,Medical absence permits a withdrawal outside the ordinary course-withdrawal rule.
EXC004,"If a university program is not offered after advertisement, tuition and admission fees shall be refunded.",Exception,Fee Refund Policy,4,Finance,ProgramCancelled(p) -> FeeRefund(x),POL003,Program cancellation permits refund of the normally non-refundable admission fee.
EXC005,Specially-abled students may receive scholarship relaxation under the approved scholarship policy.,Exception,Scholarship Policy,4,Scholarship,SpeciallyAbled(x) -> ScholarshipRelaxation(x),POL002,Disability-based relaxation qualifies the ordinary scholarship continuation conditions.
REG021,Students must earn at least 130 credit hours to graduate.,Regulation,Academic Regulations,3,Academics,"CreditHours(x,n) AND n>=130 -> EligibleForGraduation(x)",,
POL006,Students with at least 60% attendance may appear in final examinations.,Policy,Department Attendance Policy,4,Attendance,AttendanceAtLeast60(x) -> EligibleForFinalExam(x),,
POL007,Graduating students must complete all required credit hours.,Policy,Graduation Policy,4,Academics,RequiredCreditHoursCompleted(x) -> EligibleForGraduation(x),,
POL008,Admission fees shall not be refunded.,Policy,Fee Refund Policy,4,Finance,AdmissionFeePaid(x) -> NOT RefundAllowed(x),,
POL009,Tuition fees shall not be refunded after the prescribed withdrawal period.,Policy,Fee Refund Policy,4,Finance,AfterWithdrawalPeriod(x) -> NOT TuitionRefund(x),,
